요일, 월, 화, 수, 목, 금,
날짜, 20201116, 20201117, 20201118, 20201119, 20201120,
일품-4500, 쟁반짜장&계란볶음밥&지코바치밥, 돈까스김치나베&소금구이덮밥, 북성로불고기&냄비우동&육회비빔밥, 차돌짬뽕&미니탕수육&돈큐브스테이크덮밥, 수제치즈함밥스테이크&추억의도시락&컵라면,
중식-4000, 백미밥&얼큰홍합탕&모듬장조림&고구마떡맛탕&도토리묵야채무침&포기김치, 백미밥&근대된장국&우불볶음우동&미트볼토마토조림&꼬시래기양파무침&포기김치, 등뼈감자탕&백미밥&동그랑땡조림&호박버섯볶음&상추겉절이&포기김치, 백미밥&들깨무채국&홍초불닭&단호박크림떡볶이&모듬겉절이&포기김치, 백미밥&닭개장&해물콩나무찜&볼어묵볶음&돈나물유자무침&포기김치,
석식-4000, 생선까스&타르타르D&소고기육개장&백미밥&알감자꽈리조림&김가루무침&포기김치, 카레라이스&유부장국&치킨까스난반&짜사이채무침&포기김치, 베테랑칼국수&김가루밥&군만두&비빔야채&단무지무침&포기김치, 불닭볶음밥&계란파국&짜장떡볶이&감자고로케&케첩&양상추샐러드&포기김치, 백미밥&유부주머니국&단호박숯불바베큐바조림&새송이버섯볶음&콩나물무침&포기김치,
